EP ID,Home LC,Home MC,Home Region,Host LC,Host MC,Host Region,Date Break RE
bc2653c4547e6f45747af8b54d3332d8,BONN,Germany,Europe,TORINO,Italy,Europe,2020-04-07 03:26
b2c44a8ab54aaa41dd01c940340014be,EXTERNADO,Colombia,Americas,INSPER,Brazil,Americas,2020-04-16 06:59
7ec3fb4fd7d4bc2bf2957066b0cf7cf2,BARDO,Tunisia,Middle East and Africa,IZMIR,Turkey,Europe,2020-02-21 23:22
12ea6a42924e480d706fe0c9635da739,Jodhpur,India,Asia Pacific,UoM THESSALONIKI,Greece,Europe,2020-05-11 02:38
83a73407e5915cd199bcfe0c7c8e5790,GOETTINGEN,Germany,Europe,STRATHMORE UNIVERSITY,Kenya,Middle East and Africa,2020-04-02 04:43
53246233d6840a84aef39e4cd5f00159,HADRUMET,Tunisia,Middle East and Africa,IZMIR,Turkey,Europe,2020-03-25 16:05
829a3b54b0e2a64ebf6318cdcacb094c,Pune,India,Asia Pacific,GUC,Egypt,Middle East and Africa,2020-05-27 22:51
99f8c0175bc67c9b427f357511e3e15b,HADRUMET,Tunisia,Middle East and Africa,Singidunum,Serbia,Europe,2020-04-07 08:23
afa6eaf7bb57d0aeaf6c53fd96d8c304,Lima,Peru,Americas,ARACAJU,Brazil,Americas,2020-06-04 06:04
e63ab145734c281e955834f062f4512b,UPB,Colombia,Americas,WARSZAWA SGH,Poland,Europe,2020-04-03 14:53
ab18bc8e9ab6c83db203c9d7349b9e7b,KONYA,Turkey,Europe,"SPUEF, Saint-Petersburg",Russia,Europe,2020-03-05 07:18
bed7f373a3009c73630e675e980e4050,TORINO,Italy,Europe,MARINGÁ,Brazil,Americas,2020-04-23 06:46
5f42424a58b08fbba37627f650285542,OSAKA-CITY UNIVERSITY,Japan,Asia Pacific,COLOMBO NORTH,Sri Lanka,Asia Pacific,2020-05-29 01:50
1e9cc656ff7a4598287a4142e77fcbc6,Rosario (Argentina),Argentina,Americas,BALNEARIO CAMBORIU,Brazil,Americas,2020-04-12 03:48
00efe2d974aaad11be49be032d1774ab,ABC,Brazil,Americas,RUSPINA,Tunisia,Middle East and Africa,2020-03-20 03:37
e47dddd5afa96d7eaac660094971b2c4,Milano,Italy,Europe,IZMIR,Turkey,Europe,2020-03-30 00:21
cd52b966f78527bcd2641792429065a4,MARINGÁ,Brazil,Americas,Cairo University,Egypt,Middle East and Africa,2020-02-23 08:14
a1b7d7afa7220db50bc75208c4ff36c4,Expansiones Ecuador,Ecuador,Americas,SANTA MARIA,Brazil,Americas,2020-08-11 22:07
92d1b8546c21d056576adcec17a9d4ba,GOETTINGEN,Germany,Europe,TORINO,Italy,Europe,2020-03-18 15:58
69feab20037d7885fe36f9adfd463e27,REGENSBURG,Germany,Europe,UNSRI,Indonesia,Asia Pacific,2020-04-01 18:19
523ad562a6d00fe9aa43e516b807354d,OSAKA-CITY UNIVERSITY,Japan,Asia Pacific,COLOMBO NORTH,Sri Lanka,Asia Pacific,2020-05-29 01:47
7754b6dfc28c0a9efa814c9202c0a96c,MONTERIA,Colombia,Americas,MANAUS,Brazil,Americas,2020-03-27 22:41
c0758b84faa40f3b46277ac83aa101fb,JENA,Germany,Europe,UNSRI,Indonesia,Asia Pacific,2020-04-07 00:32
53b64867ae5af83ec73c7ecfee0b7321,VITÓRIA,Brazil,Americas,ANDES,Colombia,Americas,2020-01-24 08:23
08a021016df7437a5b4d741a730c3b54,Cusco,Peru,Americas,Chihuahua,Mexico,Americas,2020-02-19 07:26
b97932dc8e351c411bddcb79c85873c4,IBA,Pakistan,Asia Pacific,ISTANBUL,Turkey,Europe,2020-03-25 17:50
45e8942198fb5b13315ce38f932fae72,MUENSTER,Germany,Europe,UNIVERSITY OF PATRAS,Greece,Europe,2020-03-30 20:32
65972f7de75bcaec830a83612f7af963,NUERNBERG,Germany,Europe,VITÓRIA,Brazil,Americas,2020-04-13 19:22
7d67e0cbb067d831299d3aa0eb5d1f08,TRENTO,Italy,Europe,Cairo University,Egypt,Middle East and Africa,2020-03-22 02:41
a41a16269d1865f7b6194ea9d3eb364e,UBERLÂNDIA,Brazil,Americas,ROMA SAPIENZA,Italy,Europe,2020-04-14 02:59
f5d2bff89f77665230065c65a0b5d675,BERLIN TU,Germany,Europe,UGM,Indonesia,Asia Pacific,2020-04-11 18:46
cf2feb8241e65de6b9f793d4c7313bd9,PORTO ALEGRE,Brazil,Americas,JAVERIANA,Colombia,Americas,2020-04-17 04:59
2147864fd62a499c368a0251f2f785d2,TARIJA,Bolivia,Americas,ITAM,Mexico,Americas,2020-04-16 07:23
0bc59157798caff68ad32a427431aca0,KOELN,Germany,Europe,VENEZIA,Italy,Europe,2020-03-19 02:54
81bd8fa1ef53188103711c1541d41014,MANNHEIM,Germany,Europe,UNINORTE,Colombia,Americas,2020-03-23 23:58
34da062606f8e1eed02d9f960ecaef48,MUENSTER,Germany,Europe,Sofia UNWE,Bulgaria,Europe,2020-06-24 07:30
a8c0e10bf823661d8c7ce5948dc2f9a4,JENA,Germany,Europe,PAVIA,Italy,Europe,2020-03-19 02:59
ab194018f74b7aa4a345a194f6a85c4e,MAINZ - WIESBADEN,Germany,Europe,VITÓRIA,Brazil,Americas,2020-04-07 00:29
37c7c40d392dcaa4faab1cb5a48c52e3,AUGSBURG,Germany,Europe,Arequipa,Peru,Americas,2020-04-11 04:18
7aa2483d75b24a2defa2a5472485b1ed,Ain Shams University,Egypt,Middle East and Africa,Jalandhar,India,Asia Pacific,2020-05-27 20:17
3f86c4c1a83290f99b715632ec2c658a,BOLOGNA,Italy,Europe,FTU HCMC,VIETNAM,Asia Pacific,2020-04-05 06:51
88cbaa0a9034e65de3233eeb79499be2,La Plata,Argentina,Americas,UNINORTE,Colombia,Americas,2020-03-26 06:01
7b7980df19a7d05ddfb054f65c9be064,BELGRADE FON,Serbia,Europe,TORINO,Italy,Europe,2020-03-03 16:40
fa8de58dd7fda2fa784a608056ef7eb0,AMMAN,Jordan,Middle East and Africa,ISTANBUL,Turkey,Europe,2020-03-26 02:43
d23a728d258b2e345faf88780d05c3c3,AL-SALT,Jordan,Middle East and Africa,ISTANBUL,Turkey,Europe,2020-03-26 02:42
e4f8f912c57b8db19b9f0c92541a3d63,EAN,Colombia,Americas,FORTALEZA,Brazil,Americas,2020-04-04 05:35
420642d478a227a141033b3905130b77,NUERNBERG,Germany,Europe,UPB,Colombia,Americas,2020-04-29 04:48
